,tweet_id,timestamp,text,rating_numerator,rating_denominator,name,retweet_count,favorite_count,jpg_url,predicted_breed
56,884925521741709313,2017-07-12 00:01:00 +0000,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl",12,10,Earl,18896,78272,https://pbs.twimg.com/media/CUMOyd3XIAAl13H.jpg,papillon
57,884876753390489601,2017-07-11 20:47:12 +0000,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola,13,10,Lola,5967,28207,https://pbs.twimg.com/media/CUMZnmhUEAEbtis.jpg,saint bernard
58,884562892145688576,2017-07-11 00:00:02 +0000,This is Kevin. He's just so happy. 13/10 what is your secret Kevin,13,10,Kevin,5028,24522,https://pbs.twimg.com/media/CUM1OHCW4AEgGSi.jpg,rottweiler
60,883838122936631299,2017-07-09 00:00:04 +0000,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy,12,10,Noah,3520,22092,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,tibetan terrier
61,883482846933004288,2017-07-08 00:28:19 +0000,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10",5,10,Bella,10192,46379,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,toy poodle
64,882992080364220416,2017-07-06 15:58:11 +0000,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy,13,10,Rusty,4024,24163,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,labrador retriever
65,882762694511734784,2017-07-06 00:46:41 +0000,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl,12,10,Gus,5022,28604,https://pbs.twimg.com/media/CUN4Or5UAAAa5K4.jpg,beagle
66,882627270321602560,2017-07-05 15:48:34 +0000,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi),13,10,Stanley,6213,28134,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,italian greyhound
67,882045870035918850,2017-07-04 01:18:17 +0000,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko",13,10,Koko,5099,29624,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,golden retriever
68,881906580714921986,2017-07-03 16:04:48 +0000,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable,12,10,Rey,3459,24520,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,pembroke
69,881666595344535552,2017-07-03 00:11:11 +0000,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely,13,10,Gary,10918,51019,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,yorkshire terrier
72,879862464715927552,2017-06-28 00:42:13 +0000,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10,13,10,Romeo,3575,22474,https://pbs.twimg.com/media/CURoLrOVEAAaWdR.jpg,west highland white terrier
73,879492040517615616,2017-06-27 00:10:17 +0000,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10,12,10,Bailey,3257,23605,https://pbs.twimg.com/media/CUR6jqVWsAEgGot.jpg,dalmatian
74,879415818425184262,2017-06-26 19:07:24 +0000,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici),13,10,Duddles,45139,106884,https://pbs.twimg.com/media/CUSBemVUEAAn-6V.jpg,flat-coated retriever
75,879050749262655488,2017-06-25 18:56:45 +0000,This is Steven. He has trouble relating to other dogs. Quite shy. Neck longer than average. Tropical probably. 11/10 would still pet,11,10,Steven,4832,22800,https://pbs.twimg.com/media/CUS4WJ-UsAEJj10.jpg,malamute
79,876484053909872640,2017-06-18 16:57:37 +0000,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy,13,10,Benedict,2468,18954,https://pbs.twimg.com/media/CUXj4SgXAAETlu6.jpg,blenheim spaniel
81,875747767867523072,2017-06-16 16:11:53 +0000,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl",13,10,Goose,4409,25467,https://pbs.twimg.com/media/CUX_rAyWsAYZOQ5.jpg,chow
84,874296783580663808,2017-06-12 16:06:11 +0000,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract,13,10,Jed,4233,26350,https://pbs.twimg.com/media/CUYv4d2WUAAziXs.jpg,soft-coated wheaten terrier
89,872620804844003328,2017-06-08 01:06:27 +0000,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love...,13,10,Monkey,3830,21071,https://pbs.twimg.com/media/CUcXXpxWUAAUJ__.jpg,labrador retriever
91,872261713294495745,2017-06-07 01:19:32 +0000,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here. 13/10 blessed as h*ck,13,10,Harry,6535,34717,https://pbs.twimg.com/media/CUcjtL8WUAAAJoz.jpg,american staffordshire terrier
93,871032628920680449,2017-06-03 15:55:36 +0000,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/10 simply breathtaking",13,10,Boomer,3931,23008,https://pbs.twimg.com/media/CUdw9thWsAA4mB9.jpg,french bulldog
95,870656317836468226,2017-06-02 15:00:16 +0000,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here: https://t.co/4hxnDOt1CV",13,10,Cody,2759,12668,https://pbs.twimg.com/media/CUd5gBGWwAA0IVA.jpg,komondor
96,869772420881756160,2017-05-31 04:27:59 +0000,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly",13,10,Dewey,10454,43189,https://pbs.twimg.com/media/CUeKTeYW4AEr_lx.jpg,beagle
98,869596645499047938,2017-05-30 16:49:31 +0000,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for,12,10,Scout,3258,16291,https://pbs.twimg.com/media/CUgb21RXIAAlff7.jpg,redbone
99,869227993411051520,2017-05-29 16:24:37 +0000,This is Gizmo. His favorite thing is standing pupright like a hooman. Sneaky tongue slip status achieved. 13/10 would boop well,13,10,Gizmo,3948,20861,https://pbs.twimg.com/media/CUglxbFXAAA5O0d.jpg,malinois
100,868880397819494401,2017-05-28 17:23:24 +0000,This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter,14,10,Walter,15076,66901,https://pbs.twimg.com/media/CUg9gBvWoAAmx-2.jpg,golden retriever
106,866334964761202691,2017-05-21 16:48:45 +0000,This is Coco. At first I thought she was a cloud but clouds don't bork with such passion. 12/10 would hug softly,12,10,Coco,15213,54015,https://pbs.twimg.com/media/CUi6geuUYAIvE9n.jpg,pug
107,865359393868664832,2017-05-19 00:12:11 +0000,This is Sammy. Her tongue ejects without warning sometimes. It's a serious condition. Needs a hefty dose from a BlepiPen. 13/10,13,10,Sammy,5258,27212,https://pbs.twimg.com/media/CUjETvDVAAI8LIy.jpg,pembroke
108,865006731092295680,2017-05-18 00:50:50 +0000,This is Nelly. He really hopes you like his Hawaiian shirt. He already tore the tags off. 13/10 h*ck of a puppurchase,13,10,Nelly,8073,28766,https://pbs.twimg.com/media/CUjKHs0WIAECWP3.jpg,chihuahua
109,864279568663928832,2017-05-16 00:41:21 +0000,This is Meatball. He doing what's known in the industry as a mid-strut mlem. H*ckin fancy boy. 12/10 I'd do anything for Meatball,12,10,Meatball,3217,15024,https://pbs.twimg.com/media/CUjlp51WcAA1vGA.jpg,chihuahua
110,864197398364647424,2017-05-15 19:14:50 +0000,This is Paisley. She ate a flower just to prove she could. Savage af. 13/10 would pet so well,13,10,Paisley,9431,31076,https://pbs.twimg.com/media/CUl9PGBVEAUV3Wz.jpg,pug
111,863553081350529029,2017-05-14 00:34:33 +0000,This is Neptune. He's a backpup vocalist for the Dixie Chicks. 13/10 (vid by @AmiWinehouse),13,10,Neptune,4395,15742,https://pbs.twimg.com/media/CUmJBS5WUAAKtrP.jpg,golden retriever
112,863432100342583297,2017-05-13 16:33:49 +0000,This is Belle. She's never been more pupset. Encountered the worst imaginable type of zone. 12/10 would do anything to cheer pup,12,10,Belle,5564,24527,https://pbs.twimg.com/media/CUntin8WIAADmLk.jpg,golden retriever
114,862831371563274240,2017-05-12 00:46:44 +0000,"This is Zooey. She's the world's biggest fan of illiterate delivery people. 13/10 not your fault they don't listen, Zooey",13,10,Zooey,5356,19794,https://pbs.twimg.com/media/CUoGQjdXAAAkaz2.jpg,chihuahua
115,862722525377298433,2017-05-11 17:34:13 +0000,"This is Dave. He passed the h*ck out. It's barely the afternoon on a Thursday, Dave. Get it together. Still 11/10 would boop mid-snooze",11,10,Dave,3735,17597,https://pbs.twimg.com/media/CUoLEG3XAAE65I0.jpg,labrador retriever
116,862457590147678208,2017-05-11 00:01:27 +0000,"This is Jersey. He likes to watch movies, but only if you watch with him. Enjoys horror films like The Bababork and H*ckraiser. 13/10",13,10,Jersey,5262,21218,https://pbs.twimg.com/media/CUoO1TLWsAA0Z3w.jpg,golden retriever
118,861383897657036800,2017-05-08 00:54:59 +0000,This is Hobbes. He's never seen bubbles before. 13/10 deep breaths buddy,13,10,Hobbes,11326,37286,https://pbs.twimg.com/media/CUoVz8rU8AAfW-c.jpg,brabancon griffon
120,861005113778896900,2017-05-06 23:49:50 +0000,This is Burt. He thinks your thesis statement is comically underdeveloped. 12/10 intellectual af,12,10,Burt,4040,17296,https://pbs.twimg.com/media/CUopnHPVEAAcL2o.jpg,cocker spaniel
121,860524505164394496,2017-05-05 16:00:04 +0000,This is Carl. He likes to dance. Doesn't care what you think about it. 13/10 h*ckin confident pup,13,10,Carl,5592,24425,https://pbs.twimg.com/media/CUrNmtFWoAAnWCD.jpg,west highland white terrier
126,858107933456039936,2017-04-28 23:57:28 +0000,This is Wyatt. He had an interview earlier today. Was just told he didn't get the job. A h*ckin injustice. Still 12/10 keep your chin pup,12,10,Wyatt,3103,16337,https://pbs.twimg.com/media/CUwOfnDWcAIXryP.jpg,pomeranian
127,857989990357356544,2017-04-28 16:08:49 +0000,This is Rosie. She was just informed of the walk that's about to happen. Knows there are many a stick along the way. 12/10 such excite,12,10,Rosie,2756,16751,https://pbs.twimg.com/media/CUwdYL5UsAAP0XX.jpg,vizsla
133,854732716440526848,2017-04-19 16:25:34 +0000,This is Marlee. She fetched a flower and immediately requested that it be placed behind her ear. 12/10 elegant af,12,10,Marlee,6570,23922,https://pbs.twimg.com/media/CU2wPyWWUAAb1MJ.jpg,whippet
134,854482394044301312,2017-04-18 23:50:52 +0000,This is Arya. She can barely contain her excitement for more peanut butter. Also patriotic af. 13/10,13,10,Arya,7444,30740,https://pbs.twimg.com/media/CU3AxW1WoAA3_35.jpg,pug
137,852311364735569921,2017-04-13 00:03:59 +0000,This is Wiggles. She would like you to spot her. Probably won't need your help but just in case. 13/10 powerful as h*ck,13,10,Wiggles,10778,34912,https://pbs.twimg.com/media/CU3jwAYWwAAhdAv.jpg,sussex spaniel
139,850753642995093505,2017-04-08 16:54:09 +0000,"This is Kyle. He made a joke about your shoes, then stuck his tongue out at you. Uncalled for. Step the h*ck up Kyle. 11/10 would forgive",11,10,Kyle,10174,32928,https://pbs.twimg.com/media/CU64WOlWcAA37TV.jpg,dandie dinmont
140,850380195714523136,2017-04-07 16:10:12 +0000,This is Leo. He's a personal triathlon coach. Currently overseeing this athlete's push-pups. H*ckin brutal. 13/10 would do all he asks of me,13,10,Leo,2858,13821,https://pbs.twimg.com/media/CU67jGSUkAAk_1Y.jpg,ibizan hound
141,850145622816686080,2017-04-07 00:38:06 +0000,This is Riley. He's making new friends. Jubilant as h*ck for the fun times ahead. 11/10 for all pups pictured,11,10,Riley,4177,17311,https://pbs.twimg.com/media/CU7SW39WwAAL8Rw.jpg,norwich terrier
143,849412302885593088,2017-04-05 00:04:08 +0000,This is Noosh. He noticed you were in the shower and thought you could use some company. 12/10 h*ckin loyal,12,10,Noosh,3431,16845,https://pbs.twimg.com/media/CU8AwZ_UsAA-Lbu.jpg,keeshond
145,849051919805034497,2017-04-04 00:12:06 +0000,This is Kevin. Kevin doesn't give a single h*ck. Will sit in the fountain if he wants to. 13/10 churlish af,13,10,Kevin,9251,44175,https://pbs.twimg.com/media/CU8VFhuVAAAQW8B.jpg,pug
148,847962785489326080,2017-04-01 00:04:17 +0000,This is Georgie. He's very shy. Only puppears when called. Aggressively average at fetch. Unique front paws. Looks slippery. 10/10 would pet,10,10,Georgie,5643,24995,https://pbs.twimg.com/media/CU8mlhoVAAAteS5.jpg,pembroke
149,847842811428974592,2017-03-31 16:07:33 +0000,"This is Rontu. He is described as a pal, cuddle bug, protector and constant shadow. 12/10, but he needs your help

https://t.co/zK4cpKPFfU",12,10,Rontu,1486,5854,https://pbs.twimg.com/media/CU8sSAvXIAAB1Py.jpg,basenji
150,847606175596138505,2017-03-31 00:27:14 +0000,This is Cannon. He just heard something behind him. Fr*ckin frightened af. 12/10 don't look back just run,12,10,Cannon,3710,19956,https://pbs.twimg.com/media/CU8v-rdXIAId12Z.jpg,old english sheepdog
151,847251039262605312,2017-03-30 00:56:03 +0000,This is Furzey. He's doing an elevated sandy zoom. Adjusts ears to steer. 12/10 would pet mid flight,12,10,Furzey,4712,21745,https://pbs.twimg.com/media/CU8z65IUEAQBc4q.jpg,basset
153,846874817362120707,2017-03-29 00:01:05 +0000,"This is Tuck. As you can see, he's rather h*ckin rare. Taken seriously until his legs are seen. Tail stuck in a permanent zoom. 13/10",13,10,Tuck,4333,21420,https://pbs.twimg.com/media/CU8-puBWwAAR8Xl.jpg,labrador retriever
155,846153765933735936,2017-03-27 00:15:53 +0000,This is Vixen. He really likes bananas. Steals them when he thinks nobody's watching. 13/10 opportunistic af,13,10,Vixen,10020,33934,https://pbs.twimg.com/media/CU9HyzSWIAAVcte.jpg,pekinese
159,844704788403113984,2017-03-23 00:18:10 +0000,This is Luna. It's her first time outside and a bee stung her nose. Completely h*ckin uncalled for. 13/10 where's the bee I just wanna talk,13,10,Luna,11438,41464,https://pbs.twimg.com/media/CVBktzQXAAAPpUA.jpg,yorkshire terrier
160,844580511645339650,2017-03-22 16:04:20 +0000,This is Charlie. He wants to know if you have a moment to talk about washing machine insurance policies. 11/10 would hear him out,11,10,Charlie,3473,17628,https://pbs.twimg.com/media/CVBokRSWsAADuXx.jpg,rottweiler
161,844223788422217728,2017-03-21 16:26:50 +0000,This is Margo. She just dug pup a massive hole. Can't wait for you to see it. H*ckin proud of herself. 12/10 would forgive then pet,12,10,Margo,2422,14582,https://pbs.twimg.com/media/CVBrhXoWIAAox_C.jpg,labrador retriever
162,843235543001513987,2017-03-18 22:59:54 +0000,This is Tycho. She just had new wheels installed. About to do a zoom. 0-60 in 2.4 seconds. 13/10 inspirational as h*ck,13,10,Tycho,6722,23034,https://pbs.twimg.com/media/CVCE9uYXIAEtSzR.jpg,rottweiler
163,842846295480000512,2017-03-17 21:13:10 +0000,This is Charlie. He's wishing you a very fun and safe St. Pawtrick's Day. 13/10 festive af,13,10,Charlie,3948,16270,https://pbs.twimg.com/media/CVCIQX7UkAEzqh_.jpg,chihuahua
164,842535590457499648,2017-03-17 00:38:32 +0000,This is Winnie. She lost her body saving a children's hospital from an avalanche. 13/10 what a h*ckin hero,13,10,Winnie,3870,19391,https://pbs.twimg.com/media/CVEilyCUwAETbJ-.jpg,miniature poodle
166,841680585030541313,2017-03-14 16:01:03 +0000,"This is Penny. She's a dragon slayer. Feared by most, if not all, dragons. Showing off her latest victim here. 12/10 would pet with caution",12,10,Penny,8607,27509,https://pbs.twimg.com/media/CVGYGNYXAAAQ9m-.jpg,samoyed
168,841077006473256960,2017-03-13 00:02:39 +0000,This is Dawn. She's just checking pup on you. Making sure you're doing okay. 12/10 she's here if you need her,12,10,Dawn,5886,24612,https://pbs.twimg.com/media/CVGp4LKWoAAoD03.jpg,toy poodle
172,839239871831150596,2017-03-07 22:22:32 +0000,This is Odie. He's big. 13/10 would attempt to ride,13,10,Odie,7300,29294,https://pbs.twimg.com/media/CVHdK-7WwAAsuyc.jpg,gordon setter
174,838476387338051585,2017-03-05 19:48:43 +0000,This is Stanley. Somehow he heard you tell him he's a good boy from all the way up there. 13/10 I love you Stanley,13,10,Stanley,5386,24351,https://pbs.twimg.com/media/CVKZsHtWwAA6gPj.jpg,chihuahua
175,837471256429613056,2017-03-03 01:14:41 +0000,This is Vincent. He's suave as h*ck. Will be your copilot this evening. Claims he doesn't need to look at the directions. 12/10,12,10,Vincent,2579,13816,https://pbs.twimg.com/media/CVMJ9guXAAAhAiK.jpg,labrador retriever
176,837366284874571778,2017-03-02 18:17:34 +0000,This is Lucy. She has a portrait of herself on her ear. Excellent for identification pupposes. 13/10 innovative af,13,10,Lucy,5911,22779,https://pbs.twimg.com/media/CVMOlMiWwAA4Yxl.jpg,chow
177,837110210464448512,2017-03-02 01:20:01 +0000,This is Clark. He passed pupper training today. Round of appaws for Clark. 13/10,13,10,Clark,2687,17270,https://pbs.twimg.com/media/CVOqW8eUkAESTHj.jpg,pug
178,836989968035819520,2017-03-01 17:22:13 +0000,This is Mookie. He really enjoys shopping but not from such high altitudes. Doin him quite the concern. 12/10 someone lower him,12,10,Mookie,2566,13720,https://pbs.twimg.com/media/CVPDAR9XIAAm8QB.jpg,pug
180,836260088725786625,2017-02-27 17:01:56 +0000,This is Lucy. She spent all morning overseeing the shoveling of the driveway. H*ckin hard work. 13/10 very good girl Lucy,13,10,Lucy,4781,22905,https://pbs.twimg.com/media/CVQ3EDdWIAINyhM.jpg,beagle
181,835574547218894849,2017-02-25 19:37:50 +0000,This is Eli. He works backstage at Bone Jovi concerts. Heavy duty earmuffs for puptection. H*ckin safe boy. 11/10,11,10,Eli,4063,19214,https://pbs.twimg.com/media/CVRLfeoW4AA_ldZ.jpg,chihuahua
185,834786237630337024,2017-02-23 15:25:23 +0000,This is Tobi. She is properly fetching her shot. H*ckin nifty af bandana. 13/10 would send fully armed battalion to remind her of my love,13,10,Tobi,6077,22722,https://pbs.twimg.com/media/CVUiMUeW4AEQgkU.jpg,border collie
189,834086379323871233,2017-02-21 17:04:24 +0000,This is Lipton. He's a West Romanian Snuggle Pup. Only a few left of his kind. 12/10 would boop,12,10,Lipton,2481,14122,https://pbs.twimg.com/media/CVWJkJXWsAInlZl.jpg,great pyrenees
190,833863086058651648,2017-02-21 02:17:06 +0000,This is Bentley. Hairbrushes are his favorite thing in the h*ckin world. 12/10 impawsible to say no to,12,10,Bentley,2685,14490,https://pbs.twimg.com/media/CVWRyylWIAAMltv.jpg,toy poodle
191,833722901757046785,2017-02-20 17:00:04 +0000,This is Bronte. She's fairly h*ckin aerodynamic. Also patiently waiting for mom to make her a main character. 13/10 would be an honor to pet,13,10,Bronte,3583,22343,https://pbs.twimg.com/media/CVWicBbUYAIomjC.jpg,golden retriever
192,833479644947025920,2017-02-20 00:53:27 +0000,This is Poppy. She just arrived. 13/10 would snug passionately,13,10,Poppy,2314,16063,https://pbs.twimg.com/media/CVWy9v-VAAALSoE.jpg,chesapeake bay retriever
193,832998151111966721,2017-02-18 17:00:10 +0000,"This is Rhino. He arrived at a shelter with an elaborate doggo manual for his new family, written by someone who will always love him. 13/10",13,10,Rhino,2487,14385,https://pbs.twimg.com/media/CVZjOktVAAAtigw.jpg,pembroke
194,832636094638288896,2017-02-17 17:01:29 +0000,This is Orion. He just got back from the dentist. Cavity free af. 12/10 would give extra pats,12,10,Orion,3160,17175,https://pbs.twimg.com/media/CVbZsouWUAIsxMc.jpg,chihuahua
195,832397543355072512,2017-02-17 01:13:34 +0000,This is Eevee. She wants to see how you're doing. Just checkin pup on you. She hopes you're doing okay. 12/10 extremely good girl,12,10,Eevee,2502,12958,https://pbs.twimg.com/media/CVbc2V2WsAE3-kn.jpg,toy poodle
197,832032802820481025,2017-02-16 01:04:13 +0000,"This is Miguel. He was the only remaining doggo at the adoption center after the weekend. Let's change that. 12/10

https://t.co/P0bO8mCQwN",12,10,Miguel,5240,19312,https://pbs.twimg.com/media/CVb39_1XIAAMoIv.jpg,chow
199,831670449226514432,2017-02-15 01:04:21 +0000,This is Daisy. She has a heart on her butt. 13/10 topical af,13,10,Daisy,2035,11334,https://pbs.twimg.com/media/CVfwXuWWIAAqnoi.jpg,shih-tzu
201,831552930092285952,2017-02-14 17:17:22 +0000,This is Dutch. He dressed up as his favorite emoji for Valentine's Day. I've got heart eyes for his heart eyes. 13/10,13,10,Dutch,2585,9766,https://pbs.twimg.com/media/CVgbIobUYAEaeI3.jpg,miniature pinscher
202,831322785565769729,2017-02-14 02:02:51 +0000,This is Pete. He has no eyes. Needs a guide doggo. Also appears to be considerably fluffy af. 12/10 would hug softly,12,10,Pete,1717,9940,https://pbs.twimg.com/media/CVgdFjNWEAAxmbq.jpg,samoyed
203,831309418084069378,2017-02-14 01:09:44 +0000,This is Scooter and his son Montoya.  Scooter is a wonderful father. He takes very good care of Montoya. Both 12/10 would pet at same time,12,10,Scooter,2738,12682,https://pbs.twimg.com/media/CVgyFSyU4AA9p1e.jpg,chihuahua
205,830583320585068544,2017-02-12 01:04:29 +0000,This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well,13,10,Lilly,18973,72583,https://pbs.twimg.com/media/CVg6L2hWIAAYuEb.jpg,golden retriever
207,829501995190984704,2017-02-09 01:27:41 +0000,This is Leo. He was a skater pup. She said see ya later pup. He wasn't good enough for her. 12/10 you're good enough for me Leo,12,10,Leo,11981,34461,https://pbs.twimg.com/media/CVkKRqOXIAEX83-.jpg,beagle
